name,type,budgetCode,fiscalYear,source,allocatedBudget,internalBudget,centralBudget,provinceBudget,status
पारिश्रमिक कर्मचारी,नगर,२११११,2082/83,आन्तरिक,37500000.00,37500000.00,0.00,0.00,NOT_STARTED
पारिश्रमिक कर्मचारी,नगर,२११११,2082/83,आन्तरिक,25000000.00,25000000.00,0.00,0.00,NOT_STARTED
पारिश्रमिक पदाधिकारी,नगर,२१११२,2082/83,आन्तरिक,19000000.00,19000000.00,0.00,0.00,NOT_STARTED
पोशाक,नगर,२११२१,2082/83,आन्तरिक,2100000.00,2100000.00,0.00,0.00,NOT_STARTED
खाद्यान्न खर्च,नगर,२११२२,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
सगरमाथा चौधरी आँखा अस्पताल,नगर,२११२३,2082/83,आन्तरिक,70608.00,70608.00,0.00,0.00,NOT_STARTED
औषधीउपचार खर्च,नगर,२११२३,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
महंगी भत्ता,नगर,२११३२,2082/83,आन्तरिक,3000000.00,3000000.00,0.00,0.00,NOT_STARTED
महंगी भत्ता,नगर,२११३२,2082/83,आन्तरिक,2500000.00,2500000.00,0.00,0.00,NOT_STARTED
कर्मचारीको बैठक भत्ता,नगर,२११३४,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
फोकल शिक्षकहरुलाई बैठक,नगर,२११३४,2082/83,आन्तरिक,100000.00,100000.00,0.00,0.00,NOT_STARTED
चन्द्र नारायण पासमान (ठेक्का व्यवस्थापन बैठक),नगर,२११३४,2082/83,आन्तरिक,21000.00,21000.00,0.00,0.00,NOT_STARTED
कर्मचारी प्रोत्साहन तथा पुरस्कार,नगर,२११३५,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
बैठक भत्ता ( लहान नं. २४ को पदाधिकारी ),नगर,२११४१,2082/83,आन्तरिक,36000.00,36000.00,0.00,0.00,NOT_STARTED
पदाधिकारी बैठक भत्ता,नगर,२११४१,2082/83,आन्तरिक,9000000.00,9000000.00,0.00,0.00,NOT_STARTED
कर्मचारीको योगदानमा आधारित निवृतभरण तथा उपदान कोष खर्च,नगर,२१२१२,2082/83,आन्तरिक,10000000.00,10000000.00,0.00,0.00,NOT_STARTED
कर्मचारीको योगदानमा आधारित बीमा कोष खर्च,नगर,२१२१३,2082/83,आन्तरिक,525000.00,525000.00,0.00,0.00,NOT_STARTED
नेपाल विधुत प्रधिकरण कृषि सिचाई मिटर महशुल,नगर,२२१११,2082/83,आन्तरिक,4076583.00,4076583.00,0.00,0.00,NOT_STARTED
पानी तथा बिजुली,नगर,२२१११,2082/83,आन्तरिक,1500000.00,1500000.00,0.00,0.00,NOT_STARTED
सूचना प्रविधि व्यवस्थापन,नगर,२२११२,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
संचार महसुल,नगर,२२११२,2082/83,आन्तरिक,3000000.00,3000000.00,0.00,0.00,NOT_STARTED
इन्धन (पदाधिकारी),नगर,२२२११,2082/83,आन्तरिक,3500000.00,3500000.00,0.00,0.00,NOT_STARTED
इन्धन (कार्यालय प्रयोजन),नगर,२२२१२,2082/83,आन्तरिक,7000000.00,7000000.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-जगदम्बा कन्सट्रक्सन सोलुसन प्रा लि,नगर,२२२१३,2082/83,आन्तरिक,250395.00,250395.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-उषा इन्टरप्राईजेज,नगर,२२२१३,2082/83,आन्तरिक,300657.00,300657.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-न्यू सगरमाथा वर्कशप,नगर,२२२१३,2082/83,आन्तरिक,76750.00,76750.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-जानकी ट्रेड सेन्टर,नगर,२२२१३,2082/83,आन्तरिक,17027.00,17027.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-बुद्धमाया गाडी मर्मत सेन्टर,नगर,२२२१३,2082/83,आन्तरिक,116107.00,116107.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-मैनावत्ती ट्रेडर्स एण्ड सप्लायर्स,नगर,२२२१३,2082/83,आन्तरिक,69947.00,69947.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-शाह इन्जिनियरिङ्ग वर्कशप,नगर,२२२१३,2082/83,आन्तरिक,217751.00,217751.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-विराट ट्रेडर्स एण्ड सप्लायर्स,नगर,२२२१३,2082/83,आन्तरिक,220654.00,220654.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-भगवती ट्याकटर पार्टस,नगर,२२२१३,2082/83,आन्तरिक,28588.00,28588.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-दुगर ब्रदर्स एण्ड सन्स प्रा लि,नगर,२२२१३,2082/83,आन्तरिक,27116.00,27116.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-लाल स्टोर्स,नगर,२२२१३,2082/83,आन्तरिक,80441.00,80441.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-शिवु वर्कसप,नगर,२२२१३,2082/83,आन्तरिक,81937.00,81937.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-विवेक अटोमोवाईलस प्रा लि,नगर,२२२१३,2082/83,आन्तरिक,66912.00,66912.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-राजदेवी वर्कशप,नगर,२२२१३,2082/83,आन्तरिक,21400.00,21400.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च,नगर,२२२१३,2082/83,आन्तरिक,5000000.00,5000000.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-मनकामना ट्रेड एण्ड सर्भिस लिङ्क,नगर,२२२१३,2082/83,आन्तरिक,16250.00,16250.00,0.00,0.00,NOT_STARTED
राजदेवी वर्कसप लहान १०,नगर,२२२१३,2082/83,आन्तरिक,65000.00,65000.00,0.00,0.00,NOT_STARTED
बिमा तथा नवीकरण खर्च,नगर,२२२१४,2082/83,आन्तरिक,2000000.00,2000000.00,0.00,0.00,NOT_STARTED
मेशिनरी तथा औजार मर्मत सम्भार तथा सञ्चालन खर्च,नगर,२२२२१,2082/83,आन्तरिक,1500000.00,1500000.00,0.00,0.00,NOT_STARTED
निर्मित सार्वजनिक सम्पत्तिको मर्मत सम्भार खर्च,नगर,२२२३१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
मसलन्द तथा कार्यालय सामाग्री,नगर,२२३११,2082/83,आन्तरिक,4000000.00,4000000.00,0.00,0.00,NOT_STARTED
पुस्तक तथा सामग्री खर्च,नगर,२२३१३,2082/83,आन्तरिक,150000.00,150000.00,0.00,0.00,NOT_STARTED
इन्धन - अन्य प्रयोजन,नगर,२२३१४,2082/83,आन्तरिक,100000.00,100000.00,0.00,0.00,NOT_STARTED
पत्रपत्रिका छपाई तथा सूचना प्रकाशन खर्च,नगर,२२३१५,2082/83,आन्तरिक,4000000.00,4000000.00,0.00,0.00,NOT_STARTED
वृत चित्र निर्माण आ व २०८१/०८२,नगर,२२४१२,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
सूचना प्रणाली तथा सफ्टवेयर संचालन खर्च,नगर,२२४१२,2082/83,आन्तरिक,2000000.00,2000000.00,0.00,0.00,NOT_STARTED
करार सेवा शुल्क,नगर,२२४१३,2082/83,आन्तरिक,72500000.00,72500000.00,0.00,0.00,NOT_STARTED
सरसफाईसेवा शुल्क,नगर,२२४१४,2082/83,आन्तरिक,5000000.00,5000000.00,0.00,0.00,NOT_STARTED
कर्मचारी तालिम तथा पदाधिकारी तालिम,नगर,२२५११,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
सीप विकास तथा जनचेतना तालिम तथा गोष्ठी सम्बन्धी खर्च,नगर,२२५१२,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
महिलाहरुको लागि सिलाईकटाई तालिम,नगर,२२५२२,2082/83,आन्तरिक,350000.00,350000.00,0.00,0.00,NOT_STARTED
युवाहरुको लागि सिपमुलक तालिम मोवाइल मर्मत र पोलम्विन मोटर तालिम,नगर,२२५२२,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
सावन कुमार चौधरी (कृषि सम्बन्धी विभिन्न कार्यक्रम),नगर,२२५२२,2082/83,आन्तरिक,206000.00,206000.00,0.00,0.00,NOT_STARTED
जिन्सी व्यवस्थापन PAMS सम्बन्धी क्षमता अभिवृद्धि तालिम,नगर,२२५२२,2082/83,आन्तरिक,400000.00,400000.00,0.00,0.00,NOT_STARTED
हिंसा प्रभावित महिलाहरुलाई तनाव व्यवस्थापन सम्बन्धि तालिम,नगर,२२५२२,2082/83,आन्तरिक,200000.00,200000.00,0.00,0.00,NOT_STARTED
संजय कुमार महतो (कृषि सम्बन्धी बालीको अध्यन्न),नगर,२२५२२,2082/83,आन्तरिक,140000.00,140000.00,0.00,0.00,NOT_STARTED
Sutra Revenue क्षमता अभिवृद्धि तालिम,नगर,२२५२२,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
युवा समूहको गठन तथा बैठक,नगर,२२५२२,2082/83,आन्तरिक,200000.00,200000.00,0.00,0.00,NOT_STARTED
रिना योन्जन (कृषक गोष्ठी),नगर,२२५२२,2082/83,आन्तरिक,200000.00,200000.00,0.00,0.00,NOT_STARTED
प्रकाश साह हलुवाई (स्थलगत कृषक तालिम),नगर,२२५२२,2082/83,आन्तरिक,450000.00,450000.00,0.00,0.00,NOT_STARTED
सहकारी विकास कार्यक्रम,नगर,२२५२२,2082/83,आन्तरिक,200000.00,200000.00,0.00,0.00,NOT_STARTED
महिलाहरुलाई चुरा तथा सरफ बनाउने तालिम,नगर,२२५२२,2082/83,आन्तरिक,200000.00,200000.00,0.00,0.00,NOT_STARTED
अपाङ्ग सम्बन्धी कार्यक्रम,नगर,२२५२२,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
गमला बनाउने तालिम,नगर,२२५२२,2082/83,आन्तरिक,200000.00,200000.00,0.00,0.00,NOT_STARTED
लोकल दालका मसौरा गुनद्रुक बिरिया मुला काउली सुखउति र अचार बनाउने तालिम,नगर,२२५२२,2082/83,आन्तरिक,150000.00,150000.00,0.00,0.00,NOT_STARTED
मनोरञ्जन तथा साहित्य कार्यक्रम,नगर,२२५२९,2082/83,आन्तरिक,200000.00,200000.00,0.00,0.00,NOT_STARTED
वडा न. १ देखि वडा न.२४ सम्म को मुसहर तथा दलित बस्तीको सुत्केरी महिला हरुको लागि रासन खरिद कार्य,नगर,२२५२९,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
सामुहिक विमा कार्यक्रम दलित तथा विपन्न,नगर,२२५२९,2082/83,आन्तरिक,2500000.00,2500000.00,0.00,0.00,NOT_STARTED
बैठक भत्ता (न्यायीक समिति),नगर,२२५२९,2082/83,आन्तरिक,72000.00,72000.00,0.00,0.00,NOT_STARTED
न्यायीक समिति,नगर,२२५२९,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
राकेश विसुन्के (गोवर मल खरिद),नगर,२२५२९,2082/83,आन्तरिक,36000.00,36000.00,0.00,0.00,NOT_STARTED
युवा तथा खेलकुद कार्यक्रम,नगर,२२५२९,2082/83,आन्तरिक,5000000.00,5000000.00,0.00,0.00,NOT_STARTED
चामल खरिद (पोषण) कार्यक्रम,नगर,२२५२९,2082/83,आन्तरिक,2500000.00,2500000.00,0.00,0.00,NOT_STARTED
मुलधार महिला सेवा केन्द्र (बेटी सम्मेलन),नगर,२२५२९,2082/83,आन्तरिक,50000.00,50000.00,0.00,0.00,NOT_STARTED
निमा पुस्तक पसल खेलकुद कार्याक्रम लहान ४,नगर,२२५२९,2082/83,आन्तरिक,199445.00,199445.00,0.00,0.00,NOT_STARTED
लैङ्गिक समानाता तथा सामाजिक समावेशिकरण निति तथा रणनिति निर्माण,नगर,२२५२९,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
आयूर्वेद सम्बन्धी कार्यक्रम,नगर,२२५२९,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
सेवाग्राही संतुष्टी सर्वेक्षण,नगर,२२५२९,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
संघ संस्थाहरुको बैठक,नगर,२२५२९,2082/83,आन्तरिक,100000.00,100000.00,0.00,0.00,NOT_STARTED
नगर प्रोफाइल निर्माण तथा अध्यावधिक गर्ने कार्य,नगर,२२५२९,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
युगल कुशवाहा फलफुल नर्सरी,नगर,२२५२९,2082/83,आन्तरिक,350000.00,350000.00,0.00,0.00,NOT_STARTED
राजश्व सुधार कार्यक्रम,नगर,२२५२९,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
प्रकाश साह हलुवाई (अनुगमन तथा बैठक),नगर,२२६११,2082/83,आन्तरिक,300000.00,300000.00,0.00,0.00,NOT_STARTED
अनुगमन मूल्यांकन खर्च,नगर,२२६११,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
योजना अनुगमन भत्ता,नगर,२२६११,2082/83,आन्तरिक,195000.00,195000.00,0.00,0.00,NOT_STARTED
भ्रमण खर्च,नगर,२२६१२,2082/83,आन्तरिक,1500000.00,1500000.00,0.00,0.00,NOT_STARTED
विशिष्ट व्यक्ति तथा प्रतिनिधि मण्डलको भ्रमण खर्च,नगर,२२६१३,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
वडा नं ६ विविध खर्च वापत मायादेवी खत्री,नगर,२२७११,2082/83,आन्तरिक,20117.00,20117.00,0.00,0.00,NOT_STARTED
श्री स्वागतम होटल र पार्टी प्यालेस,नगर,२२७११,2082/83,आन्तरिक,339059.00,339059.00,0.00,0.00,NOT_STARTED
विविध खर्च (मनोज कुमार गुप्ता)  वडा नं ४,नगर,२२७११,2082/83,आन्तरिक,105850.00,105850.00,0.00,0.00,NOT_STARTED
विविध खर्च(राम नाथ पंडित)  वडा नं ४,नगर,२२७११,2082/83,आन्तरिक,110000.00,110000.00,0.00,0.00,NOT_STARTED
भैपरी/विविध खर्च ( लहान नं. २४),नगर,२२७११,2082/83,आन्तरिक,29750.00,29750.00,0.00,0.00,NOT_STARTED
विविध खर्च,नगर,२२७११,2082/83,आन्तरिक,9000000.00,9000000.00,0.00,0.00,NOT_STARTED
सभा सञ्चालन खर्च,नगर,२२७२१,2082/83,आन्तरिक,1500000.00,1500000.00,0.00,0.00,NOT_STARTED
धार्मिक तथा सांस्कृतिक संस्था सहायता,नगर,२५३१४,2082/83,आन्तरिक,2000000.00,2000000.00,0.00,0.00,NOT_STARTED
गरिब विपन्न तथा दलित विधार्थीहरुलाई जे.एस.मुरारका क्याम्पसमा छात्रवृति,नगर,२७२११,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
विपद पूर्वतयारी तथा प्रतिकार्य र नदि नियन्त्रण तटवन्ध सम्भाव्यता योजना निर्माण,नगर,२७२१२,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
उद्दार राहत तथा पुनर्स्थापना खर्च,नगर,२७२१२,2082/83,आन्तरिक,2000000.00,2000000.00,0.00,0.00,NOT_STARTED
लहान मालपोत कार्यालयलाई अनुदान,नगर,२७२१९,2082/83,आन्तरिक,400000.00,400000.00,0.00,0.00,NOT_STARTED
अन्य सामाजिक सहायता,नगर,२७२१९,2082/83,आन्तरिक,5000000.00,5000000.00,0.00,0.00,NOT_STARTED
घरभाडा,नगर,२८१४२,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
घर भाडा (वडा नं. ९ गोठ),नगर,२८१४२,2082/83,आन्तरिक,50000.00,50000.00,0.00,0.00,NOT_STARTED
सवारी साधन तथा मेशिनर औजार भाडा,नगर,२८१४३,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
प्रकाश साह हलुवाई (कृषि सम्बन्धी राजस्व तिरेको),नगर,२८२११,2082/83,आन्तरिक,9280.00,9280.00,0.00,0.00,NOT_STARTED
राजस्व फिर्ता - आन्तरिक राजश्व कार्यालयहरुको,नगर,२८२११,2082/83,आन्तरिक,8120678.00,8120678.00,0.00,0.00,NOT_STARTED
ठेक्काको भ्याट रकम आन्तरिक राजश्व कार्यालयलाई फिर्ता,नगर,२८२११,2082/83,आन्तरिक,2302000.00,2302000.00,0.00,0.00,NOT_STARTED
खानेपानीको लागि फिर्ता,नगर,२८२१९,2082/83,आन्तरिक,2300000.00,2300000.00,0.00,0.00,NOT_STARTED
अन्य फिर्ता,नगर,२८२१९,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
वडा नं. 8 रौनियार धर्मसालामा निर्माण मर्मत तथा निर्माण कार्य,नगर,३११११,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
लहान न पा आवाश क्षेत्र निर्माण तथा मर्मत सम्भार,नगर,३११११,2082/83,प्रदेश,1000000.00,0.00,0.00,1000000.00,NOT_STARTED
लहान न. पा. ५ मा Girls Hostel निर्माण,नगर,३११११,2082/83,आन्तरिक,4000000.00,4000000.00,0.00,0.00,NOT_STARTED
लहान न. पा. भरीमा मुसहर सामुदायलाई बाँसको घर निर्माण,नगर,३११११,2082/83,आन्तरिक,10000000.00,10000000.00,0.00,0.00,NOT_STARTED
लहान न. पा. ५ मा मिनि कोल्ड स्टोर निर्माण,नगर,३१११२,2082/83,आन्तरिक,10000000.00,10000000.00,0.00,0.00,NOT_STARTED
लहान १९ को कटहा शिव मन्दिरको पोखरीको डिलमा सामुदायिक भबन निर्माण कार्य,नगर,३१११२,2082/83,संध,2000000.00,0.00,2000000.00,0.00,NOT_STARTED
वडा नं. ८ को वडा भबन फिनिसिंग कार्य,नगर,३१११२,2082/83,संध,2000000.00,0.00,2000000.00,0.00,NOT_STARTED
वडा नं. ७ को वडा भबन फिनिसिंग कार्य,नगर,३१११२,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
बिधापति/भानुभक्त मल्टिपरपस विल्डिङ्ग निर्माण कार्य,नगर,३१११२,2082/83,संध,5000000.00,0.00,5000000.00,0.00,NOT_STARTED
लहान न पा को माथिल्लो तल्ला (भवन कार्यालयको छत ढलान तथा निर्माण कार्य ),नगर,३१११२,2082/83,आन्तरिक,5000000.00,5000000.00,0.00,0.00,NOT_STARTED
लहान न पा ७ भानुभक्त वाचनालय संचालन तथा मर्मत सम्भार,नगर,३१११२,2082/83,आन्तरिक,2000000.00,2000000.00,0.00,0.00,NOT_STARTED
श्री पडरिया मा वि भवन निर्माण कार्य लहान - १२,नगर,३१११२,2082/83,आन्तरिक,3462000.00,3462000.00,0.00,0.00,NOT_STARTED
लहान न. पां. १० जे. एस. मुरारका क्याम्पस अधुरो छत ढलान कार्य,नगर,३१११२,2082/83,संध,3500000.00,0.00,3500000.00,0.00,NOT_STARTED
नगरपालिकाको माथिल्लो तल्लामा हेड रुम निर्माण कार्य,नगर,३१११२,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
निर्मित भवनको संरचनात्मक सुधार खर्च,नगर,३१११३,2082/83,आन्तरिक,2000000.00,2000000.00,0.00,0.00,NOT_STARTED
भानुभक्त बाचनालय Interior कार्य,नगर,३१११३,2082/83,आन्तरिक,2000000.00,2000000.00,0.00,0.00,NOT_STARTED
लहान न पा १८ मो. हनिक मर्दसा मर्मत,नगर,३१११३,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
वडा नं. ७ भरी फ्री वाइफाई तथा सि सि केमरा जडान कार्य,नगर,३११२२,2082/83,आन्तरिक,800000.00,800000.00,0.00,0.00,NOT_STARTED
मेशिनरी तथा औजार - नेन्सी इन्टरप्राईजेज,नगर,३११२२,2082/83,आन्तरिक,98875.00,98875.00,0.00,0.00,NOT_STARTED
शिव कृष्ण रेडियो सेन्टर वडा नं ४,नगर,३११२२,2082/83,आन्तरिक,36200.00,36200.00,0.00,0.00,NOT_STARTED
मेशिनरी तथा औजार (शम्भु इलेक्ट्रिकल कनसर्न लहान-१),नगर,३११२२,2082/83,आन्तरिक,3600.00,3600.00,0.00,0.00,NOT_STARTED
लहान न पा गुणस्तर परीक्षणको ल्याब परिक्षणको सामग्री तथा स्थापनाको लागि,नगर,३११२२,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
मेशिनरी तथा औजार,नगर,३११२२,2082/83,आन्तरिक,3000000.00,3000000.00,0.00,0.00,NOT_STARTED
सि.सि.टि.भि जडान कार्य (एन.के कम्प्युटर सर्भिस) वडा नं ४,नगर,३११२२,2082/83,आन्तरिक,200000.00,200000.00,0.00,0.00,NOT_STARTED
मेशिनरी तथा औजार (वडा नं. ५ संचालन खर्च),नगर,३११२२,2082/83,आन्तरिक,24973.00,24973.00,0.00,0.00,NOT_STARTED
फर्निचर तथा फिक्चर्स,नगर,३११२३,2082/83,आन्तरिक,2500000.00,2500000.00,0.00,0.00,NOT_STARTED
प्रशासकीय भवनको माथिल्लो तल्लाको Interior तथा फर्निचर फिक्चर्स,नगर,३११२३,2082/83,प्रदेश,7500000.00,0.00,0.00,7500000.00,NOT_STARTED
डेक्स बेन्च खरिद ( लहान नं. २४),नगर,३११२३,2082/83,आन्तरिक,99506.00,99506.00,0.00,0.00,NOT_STARTED
डेस्क बेन्च निर्माण कार्य भुक्तानी बाँकी,नगर,३११२३,2082/83,आन्तरिक,2082000.00,2082000.00,0.00,0.00,NOT_STARTED
मध्यकालिन खर्च संरचना निर्माण (MTEF),नगर,३११३५,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
लहान CBA (सडक नं. १ सडक नं. २ र दुर्गा मन्दिर क्षेत्र) को सडक सत्तर उन्नती र सौन्दर्यकरणको लागि एकिकृत DPR,नगर,३११३५,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
पूँजीगत परामर्श खर्च,नगर,३११३५,2082/83,आन्तरिक,3000000.00,3000000.00,0.00,0.00,NOT_STARTED
वडा नं. 3 रघुनाथपुर नयाँ बस्तीमा सरोज यादवको घर देखि पश्चिम PCC सडक ढलान कार्य,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
लहान न पा १९ तेनिलाल चौधरीको घर नजिक PCC ढलान कार्य,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
लहान २२ को सिसवनी गाउमा पी.सि.सि.सडक ढलान कार्य,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
वडा नं. १५ को वडा भबनको बाउन्ड्री वाल निर्माण तथा ढलान कार्य,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
वडा नं. १६ को वडा कार्यालय फिनिसिंग कार्य,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
लहान वडा नं. ४ मा सहनी चौक देखि नहर सम्म आर.सि.सि.नाला निर्माण कार्य,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
लहान न पा ८ हुलाक नजिक नहर डिलको पुर्व PCC सडक ढलान कार्य,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
वडा नं. 3 रघुनाथपुरमा जिबछ कामैत को घर देखि हरि साफीको घर सम्म पाकी नाला निर्माण कार्य,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
लहान न पा ३ सोभित लाल चौधरीको घर नजिक सडक ढलान कार्य,नगर,३११५१,2082/83,आन्तरिक,550000.00,550000.00,0.00,0.00,NOT_STARTED
वडा नं. १५ को बानो टोलमा सडक ढलान कार्य,नगर,३११५१,2082/83,संध,1000000.00,0.00,1000000.00,0.00,NOT_STARTED
लहान न पा १ शारदा स्कुल नजिक अधुरो नाला तथा सडक निर्माण कार्य,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
वडा नं. १६ मा आवश्यक परेको ठाउमा होमे पाइप जडान कार्य,नगर,३११५१,2082/83,आन्तरिक,50000.00,50000.00,0.00,0.00,NOT_STARTED
वडा नं. १२ मा देवारी टोल मा पी.सि.सि. सडक ढलान कार्य,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
लहान २३ को बथनाहा मा सत्रुधन यादव को घर नजिक पी.सि.सि.सडक ढलान कार्य,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
मर्मत सम्भार उ.स लहान-९ (वडा कार्यालयको अगाडी सडक मर्मत),नगर,३११५१,2082/83,आन्तरिक,193815.00,193815.00,0.00,0.00,NOT_STARTED
लहान १८ मा बसाजोड़ीको राम सरुप मण्डलको घर नजिक नाला निर्माण तथा सडक ढलान कार्य,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
वडा न. २० को हरिनगर मुसहरी टोलमा सडक ढलान कार्य,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
लहान २४ माणिक दहको मुसहरी बस्तिमा पी.सि.सि.सडक ढलान कार्य,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
वडा नं. ४ मा निर्मला माताको मन्दिरमा अधुरो सौचालय भबन निर्माण कार्य,नगर,३११५१,2082/83,संध,2500000.00,0.00,2500000.00,0.00,NOT_STARTED
लहान न पा ३ मटिहर्वा मनोज चौधरको घर देखि पोखरी सम्म PCC सडक ढलान कार्य,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
लहान न पा ६ को नहरमा कलभर्ट तथा पुल निर्माण,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
लहान न पा १ दुरसंचार टोलमा सडक ढलान कार्य,नगर,३११५१,2082/83,संध,500000.00,0.00,500000.00,0.00,NOT_STARTED
लहान न पा भरीको शाखा सडकहरु मर्मत तथा सम्भार कार्य,नगर,३११५१,2082/83,आन्तरिक,25000000.00,25000000.00,0.00,0.00,NOT_STARTED
वडा नं. 13 गणेशपुर टोलमा सडक ढलान कार्य,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
लहान न पा २२ सिसवनीमा नाला तथा सडक ढलान कार्य,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
लहान १९ मा करुण यादवको घर नजिक पी.सि.सि.सडक ढलान कार्य,नगर,३११५१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
लहान ७ दुर्गा मन्दिर राम मन्दिर नजिक सडक निर्माण तथा सौन्दर्यकरण,नगर,३११५१,2082/83,आन्तरिक,15000000.00,15000000.00,0.00,0.00,NOT_STARTED
